      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,      28,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,   13352,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,    2395,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,   10802,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626,    2626
       6,       6,   12955,   10578,   10578,       6,       6,   12955,   10578,   10578,       6,       6,     571,   10578,   10578,       6,       6,     571,   10578,   10578,       6,       6,       6,    9554,    9554,       6,       6,    9554,    9554,    9554,       6,       6,    9554,    9554,    9554,       6,       6,    9554,    9554,    9554,       6,    6851,    7499,    7499,    7499,       6,    6851,    7499,    7499,    7499,       6,    6851,    7499,    7499,    7499,       6,    6851,    7499,    7499,    7499,       6,       6,   11044,    4044,    4044,       6,       6,   11044,    4044,    4044,       6,       6,   11044,    4044,    4044,       6,       6,   11044,    4044,    4044,       6,       6,       6,    7161,    7161,       6,       6,    7161,    7161,    7161,       6,       6,    7161,    7161,    7161,       6,       6,    7161,    7161,    7161
      10,      10,   11408,   11408,   11408,      10,      10,   11408,   11408,   11408,      10,      10,   11408,   11408,   11408,      10,      10,   11057,   11408,   11408,      10,      10,      10,    9548,    9548,      10,      10,    9548,    9548,    9548,      10,      10,    9548,    9548,    9548,      10,      10,    9548,    9548,    9548,      10,    5853,    6851,    6851,    6851,      10,    5853,    6851,    6851,    6851,      10,    5853,    6851,    6851,    6851,      10,    5853,    6851,    6851,    6851,      10,      10,    4044,   11044,   11044,      10,      10,    4044,   11044,   11044,      10,      10,    4044,       6,   11044,      10,      10,    4044,       6,       6,      10,      10,      10,    7471,    7471,      10,      10,    7471,    7471,    7471,      10,      10,    7471,    7471,    7471,      10,      10,    9762,    9762,    9762
     240,     240,   11057,   11057,   11057,     240,     240,     571,   11057,   11057,     240,     240,   11057,   11057,   11057,     240,     240,   11408,   11057,   11057,     240,     240,     240,   10004,   10004,     240,     240,   10004,   10004,   10004,     240,     240,   10004,   10004,   10004,     240,     240,   10004,   10004,   10004,     240,    8922,    5611,    5611,    5611,     240,    8922,    5611,    5611,    5611,     240,    8224,    5611,    5611,    5611,     240,    8493,    5611,    5611,    5611,     240,     240,       6,   11346,   11346,     240,     240,       6,   11346,   11346,     240,     240,       6,      10,   11346,     240,     240,       6,      10,      10,     240,     240,     240,    6447,   11419,     240,     240,    9762,    9762,    9762,     240,     240,    9762,    9762,    9762,     240,     240,   10852,   10852,   10852
     243,     243,     571,     571,     571,     243,     243,    2094,     571,     571,     243,     243,    2094,     571,     571,     243,     243,    2094,     571,     571,     243,     243,     243,   12336,   12336,     243,     243,     418,   12336,   12336,     243,     243,   12336,   12336,   12336,     243,     243,   12336,   12336,   12336,     243,    8224,    8493,    8224,    8224,     243,    8224,    5853,    5853,    5853,     243,    8922,    8493,    8493,    8493,     243,    8224,    8493,    8493,    8493,     243,     243,      10,     238,     238,     243,     243,      10,     238,     238,     243,     243,      10,     240,     238,     243,     243,      10,     240,     240,     243,     243,     243,   11419,    9762,     243,     243,    6447,   10852,   10852,     243,     243,   10852,   10852,   10852,     243,     243,    7471,    7471,    7471
     306,     306,    2094,    2094,    2094,     306,     306,   10295,    2094,    2094,     306,     306,   10295,    2094,    2094,     306,     306,   10295,    2094,    2094,     306,     306,     306,     418,   10866,     306,     306,   12336,   10866,   10866,     306,     306,     418,   10866,   10866,     306,     306,     418,   10866,   10866,     306,    8493,    8224,    8493,    8493,     306,    8493,    8224,    8224,    8224,     306,   11322,    5853,    5853,    5853,     306,    8922,    5853,    5853,    5853,     306,     306,     240,    9478,    9478,     306,     306,     240,     281,     281,     306,     306,     240,     243,     281,     306,     306,     240,     243,     243,     306,     306,     306,    9762,   11476,     306,     306,   10852,    8083,    8083,     306,     306,   11476,   11476,   11476,     306,     306,   11476,   11476,   11476
     322,     322,   10295,   10295,   10295,     322,     322,   11057,   10295,   10295,     322,     322,   11371,   10295,   10295,     322,     322,   11371,   10295,   10295,     322,     322,     322,     757,     418,     322,     322,    1355,     418,     418,     322,     322,    1355,     418,     418,     322,     322,    9997,     418,     418,     322,   11322,   11322,    5853,    5853,     322,   11322,    8493,    8493,    8493,     322,    8493,    8224,    8224,    8224,     322,   11322,    8224,    8224,    8224,     322,     322,     243,     281,     281,     322,     322,     243,    2527,    2527,     322,     322,     243,     306,    2527,     322,     322,     243,     306,     306,     322,     322,     322,   11476,   10852,     322,     322,   11476,   11476,   11476,     322,     322,    6447,    8083,    8083,     322,     322,    5450,    5450,    5450
     349,     349,   10578,     812,     812,     349,     349,   10578,     812,     812,     349,     349,     812,     812,     812,     349,     349,     812,     812,     812,     349,     349,     349,    4958,    1419,     349,     349,    9997,    1419,    1419,     349,     349,    9997,    1419,    1419,     349,     349,     757,    1419,    1419,     349,    7499,    5853,   11322,   11322,     349,    7499,    8922,    8922,    8922,     349,    7499,   11322,   11322,   11322,     349,    7499,    8922,    8922,    8922,     349,     349,     306,    2527,    2527,     349,     349,     306,    9478,    9478,     349,     349,     306,     322,    9478,     349,     349,     306,     322,     322,     349,     349,     349,   10852,   11534,     349,     349,    8083,   11534,   11534,     349,     349,    5450,    5450,    5450,     349,     349,     213,     213,     213
     361,     361,   11371,   12955,   12955,     361,     361,   10857,   12955,   12955,     361,     361,   12955,   12955,   12955,     361,     361,   12955,   12955,   12955,     361,     361,     361,    1470,   13315,     361,     361,   14005,    4958,    4958,     361,     361,   14005,    4958,    4958,     361,     361,    1470,    4958,    4958,     361,    5611,    8922,    8922,    8922,     361,    5611,   11322,   11322,   11322,     361,    5611,    8922,    8922,    8922,     361,    5611,   11322,   11322,   11322,     361,     361,     322,      18,    9278,     361,     361,     322,      18,    9278,     361,     361,     322,     349,    9278,     361,     361,     322,     349,     349,     361,     361,     361,   11534,    5450,     361,     361,   11534,    5450,    5450,     361,     361,     213,     213,     213,     361,     361,    6447,    8083,    8083
     379,     379,   10857,   11371,   11371,     379,     379,   11371,   11371,   11371,     379,     379,   10857,   10857,   10857,     379,     379,   10857,   10857,   10857,     379,     379,     379,    1975,    4958,     379,     379,     998,     757,     757,     379,     379,    6678,     757,     757,     379,     379,    1975,     757,     757,     379,       6,       6,       6,       6,     379,       6,       6,       6,       6,     379,       6,       6,       6,       6,     379,       6,       6,       6,       6,     379,     379,     349,    9278,      18,     379,     379,     349,    9278,      18,     379,     379,     349,     361,      18,     379,     379,     349,     361,     361,     379,     379,     379,    5450,     213,     379,     379,    5450,     213,     213,     379,     379,    8083,   11534,   11534,     379,     379,    8083,    9557,    9557
